Alterno;Nombre;Ventas;Marca;Talla;Genero;Categoria;Venta;Tienda;Fecha de Venta;Nombre Comercial
343880 403;Z.BENASSI JDI 343880 403 # 10;1;NIKE;10;HOMBRE;SANDALIAS;495.00;TIMEOUT MEGAMALL SPS;25/7/2019;BENASSI
190508 02;T.P IGNITE FLASH EVOKNIT BLK/WHT 190508 02 # 7;1;PUMA;7;HOMBRE;ZAPATO;990.00;TimeOut Cascadas;25/7/2019;IGNITE
7-33CAM1075112;LACOSTE JOUER CNV RED/WHT 7-33CAM1075112 # 10;1;LACOSTE;10;HOMBRE;ZAPATO;800.00;El Dorado;26/7/2019;JOUER
190945 01;T.P MEGA NRGY X BLCK 190945 01 # 11;1;PUMA;11;HOMBRE;ZAPATO;1,090.00;Time Out Multiplaza;19/7/2019;MEGA NRGY
343880-403;Z.BENASSI JDI 343880 403 # 8;1;NIKE;8;HOMBRE;SANDALIAS;950.00;TimeOut Metromall;2/7/2019;BENASSI
343880-403;Z.BENASSI JDI 343880 403 # 8;1;NIKE;8;HOMBRE;SANDALIAS;965.00;TimeOut La Ceiba;4/7/2019;BENASSI
343880-403;Z.BENASSI JDI 343880 403 # 12;1;NIKE;12;HOMBRE;SANDALIAS;950.00;Time Out Multiplaza;8/7/2019;BENASSI
5550R;T. EK STORMBUCK DARK BROWN 5550R # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;3,000.00;TIME OUT CITYMALL TEG;1/7/2019;STORMBUCK
A163L;Z.T. KEELERDG WPLTR BROWN FULL A163L # 7.5;1;TIMBERLAND;7.5;MUJER;ZAPATO;2,540.00;Time Out Citymall SPS;1/7/2019;KEELE RIDGE
5423A;T.EKBRADST PTO DARK BROW 5423A # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,690.00;Time Out Citymall SPS;1/7/2019;BRADSTREET
18128;T. FLUME MID DK BROMW 18128 #11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,850.00;Shoes Cascadas;1/7/2019;CHOCORUA
5422A;T. EKBRADST PTC DARK BROWN OILED 5422A #8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,790.00;Timberland CITY MALL;1/7/2019;BRADSTREET
A1VWY;T. BRADSTREET PT OXFORD POTTING BRW A1VWY # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,590.00;Timberland CITY MALL;1/7/2019;BACKSTREET OXFORD
A22NH;T. BRADST PT OX DK BRN A22NH # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,371.50;Timberland CITY MALL;1/7/2019;BACKSTREET OXFORD
A1PDS;T.BRACDSTREET BROW A1PDS  # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,541.50;Timberland CITY MALL;1/7/2019;BRADSTREET
5423A;T.EKBRADST PTO DARK BROW 5423A # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,715.00;TimeOut La Ceiba;1/7/2019;BRADSTREET
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,373.00;Tienda Movil;1/7/2019;MADDSEN
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;3,190.00;Timberland Multiplaza;1/7/2019;MADDSEN
A1MZX;T. KENDRICK SIDE ZIP BO TAN BROW A1MZX # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,352.00;Time Out Multiplaza;2/7/2019;KENDRICK
A1U4H;T. SQUALL CANYON PT OXF COPPER BRW A1U4H # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,690.00;Timberland CITY MALL;2/7/2019;SQUALL CANYON 
6905B;T. TRAIL WIND BROW 6905B # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,541.50;Timberland CITY MALL;2/7/2019;TRAIL WIND
A17YV;T. EDGEMONT MOC TOE SIL BROW A17YV # 9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;1,990.00;Timberland CITY MALL;2/7/2019;EDGEMONT OXFORD
12135;T.WHITE LEDGE BROWN 12135 #8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;2/7/2019;CHOCORUA
5550R;T. EK STORMBUCK DARK BROWN 5550R # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;2/7/2019;STORMBUCK
15550;T.EARTHKEEPER DK BROWN 15550#10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,646.50;Timberland Multiplaza;2/7/2019;EARTHKEEPERS
15631;T. WMNS CHOCORUA TRAIL BRN/DARK BROW 15631 #8;1;TIMBERLAND;8;MUJER;ZAPATO;3,290.00;Timberland Multiplaza;2/7/2019;CHOCORUA
A1QC0;Z.T SAWYER LANE WR BRW A1QC0 # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;3,190.00;Timberland Multiplaza;2/7/2019;SAWYER LANE
A11MO;T. KEELE RIDGE BROW A11MO # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,390.00;TIME OUT CITYMALL TEG;2/7/2019;KEELE RIDGE
A22NH;T. BRADST PT OX DK BRN A22NH # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,683.00;Time Out Citymall SPS;2/7/2019;BACKSTREET OXFORD
5557R;T. EK STORMBUCK DK BROWN 5557R # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;3,051.50;Shoes Cascadas;3/7/2019;STORMBUCK
A22NH;T. BRADST PT OX DK BRN A22NH # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,590.00;Shoes Cascadas;3/7/2019;BACKSTREET OXFORD
12668;T. WHITE LEADGE BROWN 12668 # 8;1;TIMBERLAND;8;MUJER;ZAPATO;2,508.00;TIMEOUT MEGAMALL SPS;3/7/2019;CHOCORUA
18128;T. FLUME MID DK BROMW 18128 #7 .5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,835.00;TIMEOUT MEGAMALL SPS;3/7/2019;CHOCORUA
A1R1P;Z.T GRAYDON LEATHER BRW A1R1P # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,200.00;Time Out Citymall SPS;3/7/2019;GRAYDON
A163L;Z.T. KEELERDG WPLTR BROWN FULL A163L # 7;1;TIMBERLAND;7;MUJER;ZAPATO;2,990.00;Time Out Citymall SPS;3/7/2019;KEELE RIDGE
12135;T.WHITE LEDGE BROWN 12135 #9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,500.00;Time Out Citymall SPS;3/7/2019;CHOCORUA
5423A;T.EKBRADST PTO DARK BROW 5423A # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,515.00;TimeOut La Ceiba;3/7/2019;BRADSTREET
A1NDI;T. KENDRICK CAP TOE OXF TAN BROW A1NDI # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,315.00;TimeOut La Ceiba;3/7/2019;KENDRICK
