Ventas;Marca;Genero;Categoria;Venta;Tienda
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;El Dorado
1;RS PERFORMANCE;MUJER;ZAPATO;890;El Dorado
1;RS PERFORMANCE;MUJER;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;MUJER;ZAPATO;990;TimeOut Cascadas
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TimeOut Cascadas
1;RS PERFORMANCE;HOMBRE;ZAPATO;800;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time Out Citymall SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TimeOut Cascadas
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TimeOut Choluteca
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TimeOut Choluteca
1;RS PERFORMANCE;HOMBRE;ZAPATO;792;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;MUJER;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TimeOut Choluteca
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time Out Multiplaza
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TimeOut Metromall
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TimeOut Metromall
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time Out Citymall SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TimeOut Cascadas
1;RS PERFORMANCE;MUJER;ZAPATO;990;TimeOut Metromall
1;RS PERFORMANCE;HOMBRE;ZAPATO;900;TimeOut Metromall
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time Out Multiplaza
1;RS PERFORMANCE;MUJER;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;MUJER;ZAPATO;890;Time Out Citymall SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;Time Out Citymall SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;El Dorado
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;Time Out Citymall SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;1015;TimeOut La Ceiba
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TimeOut La Ceiba
1;RS PERFORMANCE;MUJER;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;MUJER;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time out mall premier
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;Time out mall premier
1;RS PERFORMANCE;MUJER;ZAPATO;890;TimeOut Cascadas
1;RS PERFORMANCE;MUJER;ZAPATO;1015;TimeOut Choluteca
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;HOMBRE;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;MUJER;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;MUJER;ZAPATO;890;TIME OUT CITYMALL TEG
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;900;TIMEOUT MEGAMALL SPS
1;RS PERFORMANCE;HOMBRE;ZAPATO;990;TIMEOUT MEGAMALL SPS
