FECHA;MARCA;PEDIDO;FACTURA;CLIENTE;NOMBRE;NUMERO LINEA;NOMBRE MODELO;CODIGO MODELO;COLOR;COMPOSICION;ARANCEL;GENERO;CATEGORIA;DESCRIPCION;TEMPORADA;PAIS ORIGEN;ESCALA;QUARTER;UNIDAD EMPAQUE;TALLA;UPC;DISTRIB TALLA;BULTOS PED;CANTIDAD TALLA;PRECIO UNIT TALLA;EXTENSION;VOLUMEN;PESO
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;7;'886543433129;1;1;1;52;52;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;7.5;'886543433136;2;1;2;52;104;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;8;'886543433143;2;1;2;52;104;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;8.5;'886543433150;2;1;2;52;104;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;9;'886543433167;2;1;2;52;104;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;9.5;'886543433174;1;1;1;52;52;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;10;'886543433181;1;1;1;52;52;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;2;5550R;STORMBUCKS PTOX DK BRO DARK BR;DRK BROWN NUBUCK;C 100% CUERO S 100% CAUCHO PEGADA F 100% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;OXFORD;CALZADO DE HOMBRE;SP19;BD;TF;;12;10.5;'886543433198;1;1;1;52;52;0.0132;1.24
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;3;A1KJI;KENDRICK CHELSEA POTTING SOIL;DARK BROWN NUBUCK;C 80% CUERO 20% TEXTIL S 100% CAUCHO COSIDA  F 60% CUERO  40% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;CASUAL;CALZADO DE HOMBRE;FA17;BD;TFC;;12;7.5;'190852659621;2;2;4;52;208;0.0149;1.16
7/3/2019;280;TL-006833MP;TL-50616;21-495;GRUPO INVERCRO S DE RL;3;A1KJI;KENDRICK CHELSEA POTTING SOIL;DARK BROWN NUBUCK;C 80% CUERO 20% TEXTIL S 100% CAUCHO COSIDA  F 60% CUERO  40% TEXTIL P 80% SINTETICO 20% TEXTIL;6403.99.970;HOMBRE;CASUAL;CALZADO DE HOMBRE;FA17;BD;TFC;;12;8;'190852659829;2;2;4;52;208;0.0149;1.16
